harmoniczna,A0,A0_err,f0_Hz,f0_err_Hz,G_Hz,G_err_Hz,T,T_err,Q_f0_over_G,R2,Amax_pomiar,f_Amax_pomiar_Hz,stosunek_f0_do_pierwszej
1,0.8299541965405881,0.026973093046193206,1925.0599121081846,0.3256033617183752,657.3488992661199,26.21738004131736,0.13948508657642417,0.028918988169308286,2.9285207813649152,0.991907885810559,0.9662,1922.0,1.0
2,0.4436716138005309,0.01595181571616547,4048.664040186591,0.4067558618508256,220.82986274903953,15.411582231130355,0.07009895551558683,0.01599447342697209,18.333861144439805,0.9661147200134325,0.5388,4050.0,2.1031366425124873
3,0.302903709191656,0.041918663931547966,5543.707403369408,0.31066367560677455,973.3527015716277,92.9917118648701,-0.049923946483890855,0.04233354714602225,5.695476464408266,0.9914779764746208,0.2547,5542.0,2.8797583745320146
4,0.16281950315865784,0.0007483823391990478,6386.907150857961,0.3328009667775749,1255.528219507641,12.137326746069917,0.03757163275586754,0.0007350271084746609,5.0870279549452135,0.9993139705719005,0.1992,6390.0,3.31777058505337
