harmoniczna,A0,A0_err,f0_Hz,f0_err_Hz,G_Hz,G_err_Hz,T,T_err,Q_f0_over_G,R2,Amax_pomiar,f_Amax_pomiar_Hz,stosunek_f0_do_pierwszej
1,17.983688161741732,0.20219922530579498,2262.029034953626,0.39111901737048177,513.9019738437312,10.477724347243809,1.8454217172135545,0.13694138298447484,4.401674152046495,0.9887641335817743,20.56,2260.0,1.0
2,3.426830131692042,0.05935823651058308,4309.539808966129,0.5917496647935926,358.73129578442075,14.849507167607603,0.3117457564824257,0.04284680794394602,12.013280858428208,0.9887513945295928,3.755,4308.0,1.905165558166445
3,10.770398302961679,0.1272350366524058,6400.759371265591,0.3915515122084838,592.8706691973365,13.453542720991386,1.240883083054498,0.11767419426357335,10.796215268890462,0.9923970155322183,12.19,6400.0,2.8296539400506915
