harmoniczna,A0,A0_err,f0_Hz,f0_err_Hz,G_Hz,G_err_Hz,T,T_err,Q_f0_over_G,R2,Amax_pomiar,f_Amax_pomiar_Hz,stosunek_f0_do_pierwszej
1,8.817467401008015,0.16451285440936014,1927.0756674231268,1.2303411573186378,819.2639378296849,32.002404638757845,0.9584548125311241,0.10081299197807804,2.3522037019329205,0.9896124306739001,10.13,1930.0,1.0
2,5.750553317430614,0.21820653644606935,4057.467904557047,0.8171358118432795,274.5792205095645,16.92680746918612,0.8149176471874888,0.06353373250859572,14.777039198476828,0.9702906413182159,6.768,4060.0,2.1055052342509555
3,4.653844404182059,0.08649489759826888,5561.849766608106,1.2057486455838367,824.5951487842947,28.385592349650786,0.6821581157166812,0.04030088893776049,6.744946019641241,0.9861105212083023,5.58,5570.0,2.8861605491835074
